id,address,city,latitude,longitude,site_score,state_name,county_name,tract,block_group,tot_population_cen_2010,hispanic_cen_2010,nh_blk_alone_cen_2010,nh_aian_alone_cen_2010,nh_asian_alone_cen_2010,nh_nhopi_alone_cen_2010,nh_sor_alone_cen_2010,college_acs_09_13,no_health_ins_acs_09_13,med_hhd_inc_bg_acs_09_13,aggregate_hh_inc_acs_09_13,tot_vacant_units_cen_2010,renter_occp_hu_cen_2010,owner_occp_hu_cen_2010,no_plumb_acs_09_13,med_house_value_bg_acs_09_13,pct_hispanic_cen_2010,pct_nh_blk_alone_cen_2010,pct_nh_aian_alone_cen_2010,pct_nh_asian_alone_cen_2010,pct_nh_nhopi_alone_cen_2010,pct_nh_sor_alone_cen_2010,pct_not_hs_grad_acs_09_13,pct_no_health_ins_acs_09_13,pct_vacant_units_cen_2010,pct_renter_occp_hu_cen_2010,pct_owner_occp_hu_cen_2010,pct_no_plumb_acs_09_13,pct_poc
670,"HWY 80 E/PO BOX 30059, DOYLINE, LA 71130",Doyline,32.438355,-93.4454478,30.26,Louisiana,Bossier Parish,11001,1,3083.0,56.0,747.0,22.0,13.0,0.0,1.0,336.0,385.0,42417.0,62479700.0,187.0,155.0,965.0,46.0,80400.0,1.82,24.23,0.71,0.42,0.0,0.03,16.53,12.9,14.31,13.84,86.16,3.69,27.210000000000004
671,"STATE HGWY 22, 2.5 MILES W OF CITY, MADISONVILLE, LA 70447",Madisonville,30.4180147,-90.1611871,48.01,Louisiana,St. Tammany Parish,40601,2,1303.0,16.0,10.0,0.0,8.0,0.0,0.0,659.0,50.0,94615.0,81868600.0,52.0,153.0,413.0,0.0,500000.0,1.23,0.77,0.0,0.61,0.0,0.0,2.3,3.55,8.41,27.03,72.97,0.0,2.61
672,"STATE HIGHWAY 551 NEAR SH 33 JUNCTION, MARION, LA 71260",Marion,32.9005656,-92.2503968,50.0,Louisiana,Union Parish,960100,3,1181.0,52.0,520.0,3.0,0.0,0.0,0.0,84.0,434.0,29955.0,20261800.0,174.0,114.0,365.0,157.0,81100.0,4.4,44.03,0.25,0.0,0.0,0.0,13.16,31.49,26.65,23.8,76.2,24.49,48.68
673,"BROOKLAWN DRIVE, SCOTLANDVILLE, LA 70807",Scotlandville,30.5768379,-91.2203548,41.44,Louisiana,East Baton Rouge Parish,4603,1,946.0,8.0,673.0,0.0,2.0,0.0,0.0,51.0,80.0,28839.0,5891100.0,38.0,95.0,149.0,0.0,12500.0,0.85,71.14,0.0,0.21,0.0,0.0,34.17,13.38,13.48,38.93,61.07,0.0,72.19999999999999
674,"END of State Hwy 3166 Adj to W Bank Mermentau, JENNINGS, LA 70546",Jennings,30.2224284,-92.657085,50.0,Louisiana,Jefferson Davis Parish,500,1,1350.0,45.0,219.0,10.0,3.0,0.0,0.0,196.0,310.0,30192.0,29305000.0,66.0,184.0,326.0,52.0,101500.0,3.33,16.22,0.74,0.22,0.0,0.0,27.24,19.48,11.46,36.08,63.92,7.51,20.509999999999994
675,"RTE 24 AND 123, BRUNSWICK, ME 04011",Brunswick,43.8985644,-69.9078438,43.38,Maine,Cumberland County,11100,3,774.0,34.0,17.0,7.0,10.0,0.0,0.0,218.0,34.0,54148.0,23839500.0,24.0,79.0,229.0,66.0,172200.0,4.39,2.2,0.9,1.29,0.0,0.0,5.35,3.21,7.23,25.65,74.35,19.35,8.780000000000001
676,"HARBORSIDE, BROOKSVILLE (CAPE ROSIER), ME 04617",Brooksville,44.3489984,-68.8155484,50.0,Maine,Hancock County,966500,3,934.0,10.0,0.0,2.0,18.0,0.0,2.0,373.0,76.0,56875.0,29202700.0,490.0,58.0,379.0,63.0,241500.0,1.07,0.0,0.21,1.9300000000000002,0.0,0.21,5.5600000000000005,8.3,52.86,13.27,86.73,6.83,3.42
677,"ROUTE 191, MEDDYBEMPS, ME 04657",Meddybemps,45.0381111,-67.3561078,50.0,Maine,Washington County,955900,3,1079.0,9.0,3.0,8.0,14.0,0.0,5.0,192.0,103.0,48162.0,22941600.0,575.0,69.0,400.0,188.0,160100.0,0.8300000000000001,0.28,0.74,1.3,0.0,0.46,4.89,10.43,55.08,14.71,85.29,19.58,3.6100000000000003
678,"MAIN STREET, CORINNA, ME 04928",Corinna,44.9212654,-69.2602711,70.71,Maine,Penobscot County,14000,1,1006.0,8.0,5.0,3.0,2.0,0.0,0.0,128.0,70.0,38942.0,23293800.0,52.0,120.0,301.0,8.0,127500.0,0.8,0.5,0.30000000000000004,0.2,0.0,0.0,8.87,7.0,10.99,28.5,71.5,1.58,1.8
679,"OFF HWY 43, MCINTOSH, AL 36553",McIntosh,31.2820497,-88.0318255,53.42,Alabama,Washington County,44200,1,1101.0,21.0,267.0,561.0,0.0,5.0,0.0,57.0,258.0,46339.0,17576600.0,120.0,63.0,350.0,48.0,107200.0,1.9100000000000001,24.25,50.95,0.0,0.45,0.0,18.04,22.89,22.51,15.25,84.75,8.74,77.56
680,"2777 MAIN STREET, RIVERSIDE, CA 92501",Riverside,33.9914802,-117.3684734,50.5,California,Riverside County,30103,2,1120.0,759.0,33.0,10.0,64.0,0.0,3.0,87.0,586.0,53421.0,22494000.0,52.0,191.0,170.0,0.0,168100.0,67.77,2.95,0.89,5.71,0.0,0.27,31.73,29.97,12.59,52.91,47.09,0.0,77.58999999999999
681,"7 DEPOT STREET, WINDHAM, ME 04062",Windham,43.7353202,-70.4242022,50.0,Maine,Cumberland County,4803,2,3098.0,25.0,53.0,10.0,20.0,1.0,1.0,395.0,244.0,50923.0,68072900.0,45.0,210.0,704.0,19.0,190900.0,0.81,1.71,0.32,0.65,0.03,0.03,12.46,8.13,4.69,22.98,77.02,1.85,3.5499999999999994
682,"OFF OF BLUE ROCK ROAD, LEEDS, ME 04263",Leeds,44.2402931,-70.0791582,32.25,Maine,Androscoggin County,45000,1,2326.0,40.0,6.0,12.0,4.0,0.0,0.0,192.0,191.0,54940.0,47384100.0,123.0,137.0,758.0,44.0,165900.0,1.72,0.26,0.52,0.17,0.0,0.0,7.89,9.15,12.08,15.31,84.69,4.89,2.67
683,"42 CSG/CC, LIMESTONE, ME 04751",Limestone,46.9352114,-67.9146517,34.49,Maine,Aroostook County,951600,2,1631.0,85.0,154.0,21.0,16.0,1.0,1.0,169.0,199.0,47750.0,25768600.0,166.0,196.0,303.0,32.0,67600.0,5.21,9.44,1.29,0.98,0.06,0.06,6.39,14.23,24.96,39.28,60.72,4.68,17.039999999999996
684,"MAYALL RD, GRAY, ME 04039",Gray,43.904441,-70.31003,60.97,Maine,Cumberland County,4702,2,941.0,5.0,11.0,0.0,9.0,0.0,0.0,103.0,40.0,28938.0,14715800.0,30.0,134.0,276.0,38.0,181000.0,0.53,1.17,0.0,0.96,0.0,0.0,4.35,5.5600000000000005,6.82,32.68,67.32,11.84,2.66
685,"SEAVEY ISLAND, KITTERY, ME 03904",Kittery,43.080922,-70.7344972,50.0,Maine,York County,38001,4,870.0,33.0,11.0,0.0,7.0,0.0,0.0,269.0,34.0,37381.0,30546700.0,72.0,242.0,201.0,0.0,328600.0,3.79,1.26,0.0,0.8,0.0,0.0,2.01,3.87,13.98,54.63,45.37,0.0,5.85
686,"FOSS RD, SACO, ME 04072",Saco,43.5333724,-70.4795032,29.49,Maine,York County,5100,3,1437.0,7.0,7.0,2.0,8.0,0.0,3.0,439.0,56.0,86042.0,46650900.0,21.0,51.0,466.0,0.0,263300.0,0.49,0.49,0.14,0.56,0.0,0.21,5.88,4.11,3.9,9.86,90.14,0.0,1.8900000000000001
687,"RTE 17, SOUTH HOPE, ME 04862",South Hope,44.2122634,-69.2517288,32.11,Maine,Knox County,970300,5,727.0,3.0,2.0,1.0,1.0,0.0,0.0,141.0,116.0,52778.0,14823600.0,133.0,55.0,288.0,23.0,156300.0,0.41000000000000003,0.28,0.14,0.14,0.0,0.0,6.17,17.87,27.94,16.03,83.97,5.87,0.9700000000000001
688,"CAMBELL/SAWYER ROAD, PLYMOUTH, ME 04969",Plymouth,44.7629558,-69.2150173,50.0,Maine,Penobscot County,12500,1,1380.0,8.0,2.0,14.0,3.0,0.0,0.0,86.0,82.0,49044.0,23835800.0,78.0,73.0,464.0,46.0,114800.0,0.58,0.14,1.01,0.22,0.0,0.0,14.98,7.15,12.68,13.59,86.41,8.53,1.95
689,"ANNABESSACOOK RD, WINTHROP, ME 04364",Winthrop,44.2818708,-69.986544,35.62,Maine,Kennebec County,14000,3,1675.0,10.0,1.0,4.0,5.0,0.0,1.0,361.0,80.0,51250.0,48357900.0,368.0,93.0,636.0,41.0,227000.0,0.6000000000000001,0.06,0.24,0.30000000000000004,0.0,0.06,4.34,6.61,33.55,12.76,87.24,4.6,1.2600000000000002
690,"OFF RTE 40, EDGEWOOD, MD 21010",Edgewood,39.3987744,-76.3123668,53.57,Maryland,Harford County,306500,1,104.0,13.0,10.0,0.0,3.0,0.0,0.0,47.0,0.0,90000.0,4323700.0,73.0,34.0,0.0,0.0,0.0,12.5,9.62,0.0,2.88,0.0,0.0,0.0,0.0,68.22,100.0,0.0,0.0,24.999999999999996
691,"1414 THIRD STREET, OAKLAND, CA 94607",Oakland,37.802366,-122.2951789,50.0,California,Alameda County,402200,3,666.0,338.0,122.0,1.0,73.0,1.0,0.0,120.0,110.0,75865.0,16990500.0,41.0,121.0,96.0,0.0,368900.0,50.75,18.32,0.15,10.96,0.15,0.0,23.12,19.57,15.89,55.76,44.24,0.0,80.33000000000001
692,"OFF RTE 40, ABERDEEN, MD 21005",Aberdeen,39.4934852,-76.1854459,31.09,Maryland,Harford County,302902,3,2235.0,124.0,808.0,7.0,71.0,3.0,7.0,329.0,209.0,57237.0,74897500.0,48.0,185.0,635.0,0.0,216000.0,5.55,36.15,0.31,3.18,0.13,0.31,14.45,8.06,5.53,22.56,77.44,0.0,45.63
693,"ALLENTOWN ROAD, ANDREWS AIR FORCE BASE, MD 20762",Camp Springs,38.8179598,-76.8910453,50.0,Maryland,Prince George's County,801104,3,2973.0,417.0,637.0,10.0,70.0,16.0,16.0,481.0,60.0,51631.0,74796900.0,402.0,975.0,8.0,26.0,0.0,14.03,21.43,0.34,2.35,0.54,0.54,3.81,1.65,29.03,99.19,0.81,2.0,39.230000000000004
694,"BEAVERDAM AND SHEEP ROADS, BELTSVILLE, MD 20705",Beltsville,39.0281237,-76.8835111,50.0,Maryland,Prince George's County,807408,1,1958.0,174.0,465.0,0.0,327.0,0.0,7.0,777.0,77.0,65357.0,69736000.0,20.0,298.0,585.0,0.0,225000.0,8.89,23.75,0.0,16.7,0.0,0.36,3.81,5.32,2.21,33.75,66.25,0.0,49.7
695,"BRANDYWINE ROAD AND CHERRY TREE CROSSING, BRANDYWINE, MD 20613",Brandywine,38.6967833,-76.8477485,50.15,Maryland,Prince George's County,801003,2,1484.0,41.0,733.0,26.0,34.0,0.0,1.0,210.0,83.0,68594.0,42596000.0,41.0,74.0,546.0,0.0,170700.0,2.76,49.39,1.75,2.29,0.0,0.07,10.31,6.68,6.2,11.94,88.06,0.0,56.26
696,"BUSH RD POB 246, ABINGDON, MD 21009",Abingdon,39.4622357,-76.2772223,40.3,Maryland,Harford County,301703,2,2115.0,65.0,493.0,7.0,47.0,1.0,3.0,276.0,152.0,80667.0,57139500.0,30.0,78.0,669.0,0.0,249600.0,3.07,23.31,0.33,2.22,0.05,0.14,9.03,7.16,3.86,10.44,89.56,0.0,29.119999999999997
697,"MITCHELL AVE, HAGERSTOWN, MD 21742",Hagerstown,39.6559544,-77.7227398,50.0,Maryland,Washington County,200,1,1299.0,82.0,123.0,1.0,10.0,0.0,3.0,314.0,29.0,57386.0,38979100.0,35.0,131.0,426.0,0.0,147500.0,6.31,9.47,0.08,0.77,0.0,0.23,6.5,2.42,5.91,23.52,76.48,0.0,16.860000000000003
698,"2401 HAWKINS POINT RD, BALTIMORE, MD 21226",Anne Arundel County,39.205114,-76.5693148,50.0,Maryland,Baltimore city,250500,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,0.0,100.0
699,"NE OF INT. OF MD RTE 545 AND MD RTE 279, ELKTON, MD 21921",Elkton,39.6067789,-75.8332718,50.0,Maryland,Cecil County,30400,4,1132.0,97.0,115.0,3.0,13.0,4.0,0.0,97.0,307.0,33542.0,25514700.0,66.0,376.0,102.0,0.0,172700.0,8.57,10.16,0.27,1.15,0.35000000000000003,0.0,16.03,22.47,12.13,78.66,21.34,0.0,20.5
700,"810 SCHREIDER STREET, FORT DETRICK, MD 21702",Fort Detrick,39.4345766,-77.4280667,49.52,Maryland,Frederick County,751201,1,1320.0,179.0,348.0,8.0,37.0,7.0,4.0,216.0,0.0,47167.0,24354900.0,53.0,324.0,63.0,0.0,170300.0,13.56,26.36,0.61,2.8,0.53,0.30000000000000004,0.0,0.0,12.05,83.72,16.28,0.0,44.16
701,"MARYLAND ROUTE 175, ODENTON, MD 21113",Odenton,39.089695,-76.7048138,51.44,Maryland,Anne Arundel County,740304,1,2504.0,160.0,495.0,9.0,178.0,3.0,2.0,798.0,206.0,65417.0,94295500.0,65.0,568.0,528.0,0.0,287800.0,6.39,19.77,0.36,7.11,0.12,0.08,5.96,7.67,5.6,51.82,48.18,0.0,33.83
702,"3050 BOWERS AVE, SANTA CLARA, CA 95051",Santa Clara,37.3776247,-121.9787818,31.94,California,Santa Clara County,505202,3,1422.0,833.0,65.0,1.0,215.0,16.0,1.0,171.0,372.0,54831.0,36082400.0,27.0,328.0,88.0,0.0,429300.0,58.58,4.57,0.07,15.12,1.13,0.07,39.78,19.82,6.09,78.85,21.15,0.0,79.53999999999999
703,"201 INDIAN HEAD HIGHWAY, INDIAN HEAD, MD 20640",Indian Head,38.6076921,-77.1200189,50.0,Maryland,Charles County,850102,1,1625.0,65.0,528.0,31.0,57.0,0.0,3.0,122.0,217.0,95039.0,51677600.0,30.0,69.0,504.0,0.0,231300.0,4.0,32.49,1.9100000000000001,3.51,0.0,0.18,18.17,13.44,4.98,12.04,87.96,0.0,42.09
704,"KANE &amp; LOMBARD STS, BALTIMORE, MD 21224",Baltimore,39.2713976,-76.5603828,30.15,Maryland,Baltimore city,260605,6,17.0,5.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,29.41,11.76,0.0,0.0,0.0,0.0,0.0,0.0,27.27,75.0,25.0,0.0,41.17
705,"LIMESTONE RD OFF RTE 51, CUMBERLAND, MD 21502",Cumberland,39.6528654,-78.7625185,30.54,Maryland,Allegany County,1000,2,821.0,19.0,44.0,2.0,6.0,1.0,2.0,138.0,240.0,18423.0,20371500.0,137.0,401.0,88.0,48.0,79100.0,2.31,5.36,0.24,0.73,0.12,0.24,22.44,23.05,21.88,82.0,18.0,6.97,9.0
706,"1079 MECHANICS VALLEY RD, NORTH EAST, MD 219012507",Cecil County,39.631119,-75.921407,32.15,Maryland,Cecil County,30906,2,894.0,7.0,11.0,0.0,1.0,0.0,1.0,82.0,9.0,29135.0,19964700.0,20.0,101.0,325.0,0.0,112900.0,0.78,1.23,0.0,0.11,0.0,0.11,23.85,0.9500000000000001,4.48,23.71,76.29,0.0,2.2299999999999995
707,"OPPOSITE LEXINGTON PARK (STATE HWY 235), PATUXENT RIVER, MD 20670",St. Mary's County,38.2750753,-76.4463107,50.0,Maryland,St. Mary's County,875801,1,888.0,117.0,168.0,2.0,19.0,5.0,0.0,77.0,4.0,54509.0,15989400.0,10.0,170.0,0.0,0.0,0.0,13.18,18.92,0.23,2.14,0.56,0.0,2.45,0.32,5.5600000000000005,100.0,0.0,0.0,35.03
708,"RTE 40, ELKTON, MD 21921",Elkton,39.6071898,-75.8590291,41.08,Maryland,Cecil County,30503,4,758.0,12.0,10.0,0.0,0.0,0.0,0.0,167.0,0.0,80156.0,20556800.0,15.0,54.0,202.0,0.0,274600.0,1.58,1.32,0.0,0.0,0.0,0.0,18.08,0.0,5.54,21.09,78.91,0.0,2.9000000000000004
709,"4225 LYNHURST ROAD, DUNDALK, MD 21222",Dundalk,39.271183,-76.452445,50.0,Maryland,Baltimore County,452400,2,2427.0,26.0,92.0,11.0,64.0,0.0,2.0,247.0,163.0,64815.0,73606000.0,37.0,73.0,805.0,11.0,276900.0,1.07,3.79,0.45,2.64,0.0,0.08,9.93,6.88,4.04,8.31,91.69,1.19,8.030000000000001
710,"111 PROVIDENCE RD, ELKTON, MD 21921",Elkton,39.691163,-75.8775749,51.42,Maryland,Cecil County,30601,2,1630.0,57.0,37.0,2.0,6.0,0.0,0.0,369.0,163.0,72656.0,58086900.0,30.0,81.0,500.0,16.0,270400.0,3.5,2.27,0.12,0.37,0.0,0.0,12.08,9.5,4.91,13.94,86.06,2.32,6.26
711,"FIRE TOWER &amp; WAIBEL RDS., COLORA, MD 21917",Woodlawn,40.3472661,-75.9023857,48.13,Pennsylvania,Berks County,12300,4,819.0,18.0,2.0,1.0,9.0,1.0,2.0,190.0,39.0,74000.0,28117600.0,19.0,44.0,282.0,0.0,180300.0,2.2,0.24,0.12,1.1,0.12,0.24,7.19,5.39,5.51,13.5,86.5,0.0,4.0200000000000005
712,"PLEASANT ST, FAIRHAVEN, MA 02719",Fairhaven,41.6346646,-70.8982117,42.6,Massachusetts,Bristol County,655400,1,1329.0,12.0,3.0,2.0,14.0,0.0,5.0,411.0,49.0,62045.0,44313100.0,54.0,101.0,471.0,9.0,247800.0,0.9,0.23,0.15,1.05,0.0,0.38,10.3,3.38,8.63,17.66,82.34,1.29,2.71
713,"ARGONAUT LANE, JACKSON, CA 95642",Jackson,38.3596029,-120.7893343,58.31,California,Amador County,304,1,1676.0,192.0,2.0,42.0,7.0,2.0,0.0,157.0,249.0,51326.0,37788100.0,82.0,191.0,484.0,0.0,256300.0,11.46,0.12,2.51,0.42,0.12,0.0,13.16,13.44,10.83,28.3,71.7,0.0,14.629999999999999
714,"775 SOUTH ST, HOLBROOK, MA 02343",Holbrook,42.1488921,-71.027889,66.35,Massachusetts,Norfolk County,421100,3,2036.0,96.0,188.0,11.0,82.0,1.0,7.0,513.0,62.0,50254.0,44533000.0,43.0,191.0,594.0,18.0,309200.0,4.72,9.23,0.54,4.03,0.05,0.34,6.8,2.83,5.19,24.33,75.67,2.12,18.91
715,"300 FISHER STREET, FRANKLIN, MA 02038",Franklin,42.0789101,-71.4081546,41.91,Massachusetts,Norfolk County,442101,4,962.0,25.0,18.0,0.0,29.0,0.0,5.0,178.0,100.0,63750.0,32607600.0,22.0,180.0,229.0,0.0,266700.0,2.6,1.87,0.0,3.01,0.0,0.52,6.04,9.79,5.1,44.01,55.99,0.0,8.0
716,"SOUTH ST., WALPOLE, MA 02081",Walpole,42.1246135,-71.2525943,50.0,Massachusetts,Norfolk County,411100,3,1688.0,36.0,13.0,0.0,13.0,0.0,0.0,657.0,20.0,74701.0,79616200.0,52.0,120.0,601.0,0.0,375700.0,2.13,0.77,0.0,0.77,0.0,0.0,3.99,1.0,6.73,16.64,83.36,0.0,3.67
717,"CORNER DUNSTABLE &amp; CUMMINGS RD, TYNGSBOROUGH, MA 01879",Tyngsborough,42.6691846,-71.4180622,47.2,Massachusetts,Middlesex County,313101,1,1654.0,67.0,17.0,1.0,106.0,0.0,0.0,497.0,91.0,78542.0,75818200.0,59.0,172.0,516.0,0.0,271800.0,4.05,1.03,0.06,6.41,0.0,0.0,7.69,4.24,7.9,25.0,75.0,0.0,11.55
718,"55 CLINTON AVENUE, DANVERS, MA 01923",Danvers,42.554586,-70.930453,60.57,Massachusetts,Essex County,211100,4,783.0,17.0,17.0,0.0,20.0,0.0,6.0,223.0,8.0,63281.0,28648300.0,26.0,204.0,167.0,0.0,338900.0,2.17,2.17,0.0,2.55,0.0,0.77,14.55,0.78,6.55,54.99,45.01,0.0,7.66
719,"BUENA VISTA ST, FORT DEVENS, MA 01433",Fort Devens,42.546909,-71.610682,42.24,Massachusetts,Worcester County,761400,6,1457.0,166.0,239.0,0.0,42.0,0.0,0.0,182.0,0.0,102578.0,5012500.0,2.0,15.0,65.0,0.0,131300.0,11.39,16.4,0.0,2.88,0.0,0.0,14.08,0.0,2.44,18.75,81.25,0.0,30.669999999999998
720,"JOHNSON CREEK WATERSHED, GROVELAND, MA 01834",Groveland,42.7603688,-71.0314451,40.74,Massachusetts,Essex County,264100,1,2039.0,37.0,10.0,1.0,25.0,2.0,0.0,489.0,94.0,86061.0,73650800.0,29.0,113.0,604.0,0.0,340300.0,1.81,0.49,0.05,1.23,0.1,0.0,1.81,4.19,3.89,15.76,84.24,0.0,3.6799999999999997
721,"HARTWELL AVENUE, BEDFORD, MA 01730",Bedford,42.4778133,-71.286317,50.0,Massachusetts,Middlesex County,359300,5,975.0,40.0,8.0,0.0,131.0,0.0,2.0,388.0,17.0,193000.0,47612200.0,7.0,22.0,260.0,0.0,523300.0,4.1,0.8200000000000001,0.0,13.44,0.0,0.21,0.0,2.08,2.42,7.8,92.2,0.0,18.57
722,"15 COUNTY ROAD, MANSFIELD, MA 02048",Mansfield,42.0373964,-71.2194885,56.6,Massachusetts,Bristol County,610100,1,1833.0,26.0,53.0,2.0,88.0,0.0,1.0,395.0,178.0,70701.0,49133000.0,35.0,207.0,451.0,0.0,319000.0,1.42,2.89,0.11,4.8,0.0,0.05,10.53,10.01,5.05,31.46,68.54,0.0,9.270000000000001
723,"OLD GROVELAND RD, HAVERHILL, MA 01830",Haverhill,42.7516542,-71.0503768,30.29,Massachusetts,Essex County,261101,3,1920.0,45.0,19.0,3.0,33.0,0.0,2.0,558.0,27.0,115000.0,68973600.0,23.0,25.0,612.0,0.0,334800.0,2.34,0.99,0.16,1.72,0.0,0.1,2.34,1.51,3.48,3.92,96.08,0.0,5.31
724,"LOS GATOS CREEK RD NW OF FRESNO, COALINGA, CA 93210",Fresno County,36.2338045,-120.5546739,45.55,California,Fresno County,7902,1,1293.0,640.0,23.0,10.0,71.0,0.0,1.0,309.0,517.0,97115.0,46050000.0,73.0,186.0,259.0,0.0,151100.0,49.5,1.78,0.77,5.49,0.0,0.08,37.13,11.01,14.09,41.8,58.2,0.0,57.620000000000005
725,"FISHER ST, WESTBOROUGH, MA 01581",Westborough,42.2690845,-71.64215,44.8,Massachusetts,Worcester County,742402,2,1207.0,30.0,4.0,1.0,146.0,0.0,0.0,466.0,25.0,122708.0,56833500.0,10.0,59.0,348.0,0.0,362300.0,2.49,0.33,0.08,12.1,0.0,0.0,0.0,2.65,2.4,14.5,85.5,0.0,15.0
726,"COMMERCE &amp; ATLANTIC, WOBURN, MA 01801",Woburn,42.4884618,-71.1329685,72.42,Massachusetts,Middlesex County,333400,5,1028.0,36.0,24.0,0.0,25.0,0.0,0.0,99.0,0.0,59208.0,40176400.0,14.0,81.0,306.0,0.0,345100.0,3.5,2.33,0.0,2.43,0.0,0.0,17.17,0.0,3.49,20.93,79.07,0.0,8.26
727,"HIGH ST, BILLERICA, MA 01862",Billerica,42.5914786,-71.2716669,42.93,Massachusetts,Middlesex County,316500,1,1557.0,69.0,30.0,0.0,58.0,0.0,3.0,152.0,53.0,108311.0,54784300.0,18.0,90.0,464.0,0.0,334800.0,4.43,1.9300000000000002,0.0,3.73,0.0,0.19,13.54,2.96,3.15,16.25,83.75,0.0,10.28
728,"106 HAVERHILL RD (RTE 110), AMESBURY, MA 01913",Amesbury,42.8423961,-70.959817,50.0,Massachusetts,Essex County,266100,4,918.0,24.0,2.0,3.0,1.0,2.0,2.0,246.0,42.0,103750.0,35176300.0,12.0,24.0,282.0,0.0,336200.0,2.61,0.22,0.33,0.11,0.22,0.22,4.99,4.26,3.77,7.84,92.16,0.0,3.7100000000000004
729,"100 KANSAS STREET, NATICK, MA 01760",Natick,42.2908338,-71.3633393,50.0,Massachusetts,Middlesex County,382500,3,1594.0,53.0,37.0,0.0,75.0,0.0,7.0,644.0,8.0,82546.0,67041900.0,43.0,282.0,376.0,0.0,400900.0,3.32,2.32,0.0,4.71,0.0,0.44,6.51,0.51,6.13,42.86,57.14,0.0,10.79
730,"165 HARTWELL ROAD, BEDFORD, MA 01730",Bedford,42.4763638,-71.2897563,50.0,Massachusetts,Middlesex County,359300,5,975.0,40.0,8.0,0.0,131.0,0.0,2.0,388.0,17.0,193000.0,47612200.0,7.0,22.0,260.0,0.0,523300.0,4.1,0.8200000000000001,0.0,13.44,0.0,0.21,0.0,2.08,2.42,7.8,92.2,0.0,18.57
731,"ACUSHNET ESTUARY, NEW BEDFORD, MA 02740",New Bedford,41.6381659,-70.9368469,0.0,Massachusetts,Bristol County,651500,3,564.0,96.0,65.0,3.0,10.0,0.0,74.0,26.0,40.0,40625.0,8157100.0,28.0,67.0,153.0,0.0,174200.0,17.02,11.52,0.53,1.77,0.0,13.12,17.35,10.55,11.29,30.45,69.55,0.0,43.96
732,"2229 MAIN STREET, CONCORD, MA 017423897",Concord,42.441732,-71.420649,58.31,Massachusetts,Middlesex County,361200,3,1876.0,30.0,22.0,0.0,94.0,0.0,2.0,1211.0,49.0,146000.0,138040800.0,23.0,74.0,607.0,14.0,712500.0,1.6,1.17,0.0,5.01,0.0,0.11,0.49,2.22,3.27,10.87,89.13,1.8,7.89
733,"MEGUNKO RD, ASHLAND, MA 01721",Ashland,42.259836,-71.470316,69.22,Massachusetts,Middlesex County,385100,2,3856.0,82.0,58.0,0.0,362.0,0.0,22.0,1525.0,105.0,116961.0,179461700.0,28.0,115.0,1135.0,0.0,463500.0,2.13,1.5,0.0,9.39,0.0,0.5700000000000001,2.93,2.95,2.19,9.2,90.8,0.0,13.59
734,"51 EAMES ST, WILMINGTON, MA 01887",Wilmington,42.5283643,-71.1537853,50.0,Massachusetts,Middlesex County,331300,3,2071.0,38.0,14.0,0.0,63.0,0.0,10.0,490.0,45.0,123232.0,103517500.0,15.0,34.0,618.0,0.0,387400.0,1.83,0.68,0.0,3.04,0.0,0.48,6.45,2.09,2.25,5.21,94.79,0.0,6.030000000000001
735,"MARINE CORPS LOGIS BASE- NEBO, BARSTOW, CA 92311",Barstow,34.871567,-116.955593,37.93,California,San Bernardino County,12002,1,226.0,56.0,17.0,1.0,7.0,0.0,0.0,19.0,0.0,72943.0,9836000.0,30.0,60.0,6.0,21.0,0.0,24.78,7.52,0.44,3.1,0.0,0.0,3.23,0.0,31.25,90.91,9.09,11.54,35.839999999999996
736,"OTIS AFB HERBERT RD, FALMOUTH, MA 02542",Falmouth,41.6506308,-70.5201518,45.92,Massachusetts,Barnstable County,14100,1,1141.0,94.0,93.0,9.0,11.0,0.0,5.0,125.0,11.0,45107.0,17639700.0,224.0,222.0,4.0,26.0,0.0,8.24,8.15,0.79,0.96,0.0,0.44,9.98,0.9500000000000001,49.78,98.23,1.77,4.58,18.580000000000002
737,"10 WATER ST, PALMER, MA 01069",Palmer,42.1546281,-72.3290698,38.66,Massachusetts,Hampden County,810100,3,1774.0,47.0,24.0,9.0,13.0,0.0,0.0,286.0,33.0,41111.0,44700300.0,69.0,454.0,378.0,0.0,186200.0,2.65,1.35,0.51,0.73,0.0,0.0,19.25,1.92,7.66,54.57,45.43,0.0,5.24
738,"N HIXVILLE RD, DARTMOUTH, MA 02747",Dartmouth,41.6858532,-71.033323,47.71,Massachusetts,Bristol County,653102,1,2204.0,35.0,10.0,0.0,11.0,0.0,8.0,516.0,43.0,109896.0,77167500.0,14.0,38.0,643.0,0.0,364600.0,1.5899999999999999,0.45,0.0,0.5,0.0,0.36,10.74,1.94,2.01,5.58,94.42,0.0,2.9
